title,description,author,isbn10,isbn13,publish_date,edition,best_seller,top_rated ,rating,review_count,price
The Staff Engineer's Path,A Guide for Individual Contributors Navigating Growth and Change, Tanya Reilly,1098118731,978-1098118730,25-10-2022,1,Yes,No,4.7,189,$31.99
Cracking the Coding Interview,189 Programming Questions and Solutions,Gayle Laakmann McDowell,984782869,978-0984782857,01-07-2015,6,Yes,No,4.7,8334,$33.21
"Python Crash Course, 3rd Edition","A Hands-On, Project-Based Introduction to Programming",Eric Matthes,1718502702,978-1718502703,10-01-2023,3,Yes,No,4.8,165,$30.61
The Pragmatic Programmer,"20th Anniversary Edition, 2nd Edition: Your Journey to Mastery",David Thomas,,978-0135957059,13-09-2019,2,Yes,No,4.8,2521,$38.00
Clean Code,A Handbook of Agile Software Craftsmanship, Robert C. Martin,,978-0132350884,01-08-2008,1,Yes,No,4.7,5639,$40.00
System Design Interview – An Insider's Guide,Volume 2, Alex Xu,1736049119,978-1736049112,11-03-2022,,Yes,No,4.7,1029,$33.45
"Automate the Boring Stuff with Python, 2nd Edition",Practical Programming for Total Beginners,Al Sweigart,1593279922,978-1593279929,12-11-2019,2,Yes,No,4.7,2858,$29.99
The Manager's Path,A Guide for Tech Leaders Navigating Growth and Change,Camille Fournier,1491973897,978-1491973899,02-05-2017,1,Yes,No,4.6,2504,$30.49
Design Patterns,Elements of Reusable Object-Oriented Software,Erich Gamma,201633612,978-0201633610,31-10-1994,1,Yes,No,4.7,2321,$45.32
Python Programming for Beginners,The Complete Guide to Mastering Python in 7 Days with Hands-On Exercises – Top Secret Coding Tips to Get an Unfair Advantage and Land Your Dream Job!, Philip Robbins,,979-8376161821,04-02-2023,,Yes,No,4.8,2187,$23.72
The Pragmatic Programmer,"Your Journey To Mastery, 20th Anniversary Edition (2nd Edition)",David Thomas,135957052,978-0135957059,13-09-2019,2,Yes,No,4.8,2522,$38.00
Staff Engineer,Leadership beyond the management track,Will Larson,1736417916,978-1736417911,31-01-2021,,Yes,No,4.5,775,$21.43
"Python Crash Course, 3rd Edition","A Hands-On, Project-Based Introduction to Programming", Eric Matthes,1718502702,978-1718502703,10-01-2023,3,Yes,No,4.8,199,$30.61
Python Programming Language ,, Berajah Jayne,1423241886,978-1423241881,01-05-2019,1,Yes,No,4.6,1752,$7.95
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow","Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron ,1098125975,978-1098125974,08-11-2022,3,Yes,No,4.7,151,$49.99
Sql Guide (Quick Study,SQL),Inc. BarCharts,1572229160,978-1572229167,01-01-2005,1,Yes,No,4.5,1782,$4.95
Python for Data Analysis,"Data Wrangling with pandas, NumPy, and Jupyter",Wes McKinney,109810403X,978-1098104030,20-09-2022,3,Yes,No,4.5,112,$36.18
"Automate the Boring Stuff with Python, 2nd Edition",Practical Programming for Total Beginners , Al Sweigart,1593279922,978-1593279929,12-11-2019,2,Yes,No,4.7,2858,$29.99
Python QuickStart Guide,The Simplified Beginner's Guide to Python Programming Using Hands-On Projects and Real-World Applications,Robert Oliver,163610035X,978-1636100357,22-04-2023,1,Yes,No,4,6,$23.39
Python Programming and SQL,5 books in 1 - The #1 Coding Course from Beginner to Advanced. Learn it Well & Fast (2023) (Computer Programming),Mark Reed ,,979-8373278850,10-01-2023,1,Yes,No,4.9,1191,$38.81
150 Most Famous Poems,"Emily Dickinson, Robert Frost, William Shakespeare, Edgar Allan Poe, Walt Whitman and many more",Poetry House,1647751071,978-1647751074,01-08-2020,1,Yes,No,4.7,841,$17.09
HTML and CSS,Design and Build Websites, Jon Duckett,1118008189,978-1118008188,08-11-2011,1,Yes,No,4.7,4402,$17.99
The Unofficial Zelda Cookbook,, Thibaud Villanova,1803362812,978-1803362816,06-12-2022,1,Yes,No,4.7,59,$22.99
EXCEL 2023,"From Beginner to Expert | The Illustrative Guide to Master All The Essential Functions and Formulas in Just 7 Days With Step-by-Step Tutorials, Practical Examples, Tips & Tricks",Richard Wilson ,,979-8367981933,11-12-2022,1,Yes,No,4.6,1777,$14.97
Python for Everybody,Exploring Data in Python 3,Dr. Charles Russell Severance,1530051126,978-1530051120,10-07-2016,1,Yes,No,4.6,2857,$9.99
Grokking Algorithms,An Illustrated Guide for Programmers and Other Curious People,Aditya Bhargava,1617292230,978-1617292231,01-05-2016,1,Yes,No,4.6,1281,$35.99
Excel,"The Complete Illustrative Guide for Beginners to Learning any Fundamental, Formula, Function and Chart in Less than 5 Minutes with Simple and Real-Life Examples",Nigel Tillery,,979-8824373264,23-05-2022,1,Yes,No,4.4,1543,$22.34
Grokking Deep Learning,,Andrew Trask,1617293709,978-1617293702,25-01-2019,1,Yes,No,4.5,147,$45.76
Beginner's Step-by-Step Coding Course,Learn Computer Programming the Easy Way (DK Complete Courses),DK,1465482210,978-1465482211,07-01-2020,1,Yes,No,4.7,1351,$20.99
Python Programming for Beginners,The Complete Guide to Mastering Python in 7 Days with Hands-On Exercises – Top Secret Coding Tips to Get an Unfair Advantage and Land Your Dream Job!,Philip Robbins,,979-8376161821,04-02-2023,1,Yes,No,4.8,2188,$23.72
Coding for Kids,Python: Learn to Code with 50 Awesome Games and Activities,Adrienne Tacke,1641521759,978-1641521758,19-03-2019,1,Yes,No,4.6,1600,$16.74
Python Programming for Beginners,8 in 1: The Ultimate Step-by-Step Guide to Create Your Business Projects Immediately,Chad Knowles ,,979-8361840960,02-11-2022,1,Yes,No,4.9,125,$21.97
Python Programming and SQL,5 books in 1 - The #1 Coding Course from Beginner to Advanced. Learn it Well & Fast (2023) (Computer Programming),Mark Reed,,979-8373278850,10-01-2023,1,Yes,No,4.9,1991,$38.81
"Introduction to Algorithms, fourth edition",,Thomas H. Cormen,026204630X,978-0262046305,05-04-2022,1,Yes,No,4.4,353,$115.82
Escape from a Video Game,The Complete Series,Dustin Brady,1524876062,978-1524876067,25-10-2022,1,Yes,No,4.6,72,$28.49
Rust Web Programming,"A hands-on guide to developing, packaging, and deploying fully functional Rust web applications, 2nd Edition",Maxwell Flitton,1803234695,978-1803234694,27-01-2023,2,Yes,No,5,4,$44.99
Grokking Machine Learning,,Luis Serrano,1617295914,978-1617295911,14-12-2021,1,Yes,No,4.6,17,$47.99
Programming Rust,"Fast, Safe Systems Development",Jim Blandy,1492052590,978-1492052593,20-07-2021,2,Yes,No,4.7,471,$38.49
Master Python Fundamentals,The Ultimate Guide for Beginners: The Number #1 Python Book For Beginners with Extra 300 plus Hands-on Practice Questions,Benjamin Bennett Alexander,,979-8359471398,28-10-2022,1,Yes,No,4.7,58,$15.99
Command-Line Rust,A Project-Based Primer for Writing Rust CLIs,Ken Youens-Clark,1098109430,978-1098109431,22-02-2022,1,Yes,No,4.5,37,$42.49
Python All-in-One For Dummies (For Dummies (Computer/Tech)),,John C. Shovic,1119787602,978-1119787600,09-04-2021,2,No,No,4.5,280,$29.99
Code,The Hidden Language of Computer Hardware and Software,Charles Petzold,137909101,978-0137909100,07-08-2022,2,No,No,4.8,278,$35.99
Python (2nd Edition),Learn Python in One Day and Learn It Well. Python for Beginners with Hands-on Project. (Learn Coding Fast with Hands-On Project Book 1),Jamie Chan ,1546488332,978-1546488330,10-05-2017,2,No,No,4.5,1842,$11.67
Python Standard Library,A Quickstudy Laminated Reference Guide,Berajah Jayne,1423244230,978-1423244233,01-05-2020,1,No,No,4.7,277,$6.95
Fluent Python,"Clear, Concise, and Effective Programming",Luciano Ramalho ,1492056359,978-1492056355,10-05-2022,2,No,No,4.7,255,$50.99
Practical Discrete Mathematics,Discover math principles that fuel algorithms for computer science and machine learning with Python, Ryan T. White ,1838983147,978-1838983147,22-02-2021,1,No,No,4.3,41,$62.99
Java,Learn Java in One Day and Learn It Well. Java for Beginners with Hands-on Project. (Learn Coding Fast with Hands-On Project),Jamie Chan ,,979-8821535474,09-05-2022,1,No,No,4.5,833,$11.56
Expert Python Programming,"Master Python by learning the best coding practices and advanced programming concepts, 4th Edition",Michal Jaworski ,1801071101,978-1801071109,28-05-2021,1,No,No,4.5,64,$39.94
Linear Algebra,"Theory, Intuition, Code", Mike X Cohen ,9083136604,978-9083136608,01-02-2021,1,No,No,4.7,187,$28.37
Forecasting Time Series Data with Prophet,"Build, improve, and optimize time series forecasting models using Meta's advanced forecasting tool, 2nd Edition",Greg Rafferty ,1837630410,978-1837630417,31-03-2023,2,No,No,4.8,8,$44.99
Functional Python Programming,"Use a functional approach to write succinct, expressive, and efficient Python code, 3rd Edition",Steven F. Lott,1803232579,978-1803232577,30-12-2022,3,No,No,4.3,21,$44.99
Learning Tableau 2022,"Create effective data visualizations, build interactive visual analytics, and improve your data storytelling capabilities, 5th Edition",Joshua N. Milligan,1801072329,978-1801072328,26-08-2022,5,Yes,No,4.7,44,$42.92
Java,The Ultimate Beginner's Guide to Learn Java Quickly With No Prior Experience (Computer Programming),Mark Reed,,979-8387893131,21-03-2023,1,No,No,5,160,$24.99
Mastering Python Networking,"Utilize Python packages and frameworks for network automation, monitoring, cloud, and management, 4th Edition",Eric Chou,180323461X,978-1803234618,20-01-2023,4,No,No,4.9,39,$44.99
Mastering Tableau 2021,"Implement advanced business intelligence techniques and analytics with Tableau, 3rd Edition",Marleen Meier,1800561644,978-1800561649,31-05-2021,3,No,No,4.3,93,$46.99
System Design Interview,he Ultimate Guide to Master All the Fundamentals of System Design & to Get Ready for the Interview | Including More Than 30 Questions & Case Studies to Practice,Liam DeSantis,,979-8387602030,19-03-2023,1,No,No,4.8,177,$33.99
Microsoft Power BI Cookbook,"Gain expertise in Power BI with over 90 hands-on recipes, tips, and use cases, 2nd Edition",Greg Deckler,1801813043,978-1801813044,30-09-2021,2,No,No,4.6,65,$51.99
C#," books in 1 - The Ultimate Beginner, Intermediate & Advanced Guides to Master C# Programming Quickly with No Experience (Computer Programming)",Mark Reed,,979-8351212449,06-09-2022,1,No,No,4.4,167,$29.43
Mastering Microsoft Power BI, Expert techniques for effective data analytics and business intelligence,Brett Powell,1788297237,978-1788297233,29-03-2018,1,Yes,No,4.2,169,$61.49
The C# Programming Beginner’s Bible,[ 4 in 1 ] The Most Updated Bible to Master C# from Scratch in Less Than 20 Minutes a Day to Secure a Bright Future in the Programming Career,Stephen Patel,,979-8393003906,29-04-2023,1,No,No,5,874,$23.97
The Definitive Guide to DAX,"Business Intelligence for Microsoft Power BI, SQL Server Analysis Services, and Excel Second Edition (Business Skills)",Marco Russo,1509306978,978-1509306978,02-07-2019,2,No,No,4.7,1233,$43.99
Mastering Kubernetes,"Level up your container orchestration skills with Kubernetes to build, run, secure, and observe large-scale distributed apps, 3rd Edition",Gigi Sayfan ,1839211253,978-1839211256,30-06-2020,3,No,No,4.5,72,$57.99
Extreme DAX,Take your Power BI and Microsoft data analytics skills to the next level,Michiel Rozema,1801078513,978-1801078511,20-01-2022,1,No,No,4.7,61,$46.99
The Kubernetes Book,,Nigel Poulton,,979-8402153776,,1,b,No,4.5,1503,$45.59
Kubernetes: Up and Running,Dive into the Future of Infrastructure,Brendan Burns,109811020X,978-1098110208,06-09-2022,3,No,No,4.4,28,$44.20
Microsoft Power BI Quick Start Guide,"The ultimate beginner's guide to data modeling, visualization, digital storytelling, and more, 3rd Edition", Devin Knight,1804613495,978-1804613498,25-11-2022,3,No,No,4.2,51,$33.50
Becoming KCNA Certified,Build a strong foundation in cloud native and Kubernetes and pass the KCNA exam with ease,Dmitry Galkin,1804613398,978-1804613399,10-02-2023,1,No,No,5,2,$36.22
